30 graphs in nwdGraphs30.txt

** G1: |V|=15, V={0,1,...14}
(u, v, weight) E = { 
      (21, 31, 37.757)
      (22, 18, 66.468)
      (22, 26, 65.845)
      (23,  8, 47.372)
      (23, 10, 48.989)
      (23, 29, 62.400)
      (24,  9, 23.919)
      (25, 12, 87.891)
      (25, 18, 67.033)
      (25, 24, 24.012)
      (25, 34, 83.172)
      (26, 10,  5.412)
      (26, 24,  3.531)
      (26, 33, 56.712)
      (27,  1, 42.775)
      (27, 31, -18.795)
      (28,  7, 56.178)
      (28, 12, 63.513)
      (28, 18, 92.503)
      (28, 24,  9.305)
      (29, 10, 73.712)
      (29, 13, 22.309)
      (29, 14, 13.086)
      (29, 16, 46.422)
      (29, 20, -16.750)
      (29, 31, 75.300)
      (29, 33, 52.021)
      (30,  0, 67.941)
      (30,  2, 30.070)
      (30, 17, 70.394)
      (30, 21, 43.503)
      (31, 13, 84.497)
      (32,  1, 31.459)
      (32,  2, 17.076)
      (32, 11, 58.087)
      (32, 30, -6.374)
      (33,  6,  7.345)
      (33, 10, 52.073)
      (33, 26, 38.002)
      (33, 30, 63.852)
      (34,  1, -13.264)
      (34, 19, 25.124) }
------------------------- 

** G10: |V|=35, V={0,1,...34}
(u, v, weight) E = { 
      ( 0, 22, 66.906)
      ( 0, 31, 19.939)
      ( 0, 34, 40.779)
      ( 1,  4, 40.519)
      ( 1, 14,  6.263)
      ( 1, 22, -3.778)
      ( 1, 27, 62.110)
      ( 1, 28, 76.596)
      ( 2,  6, 25.256)
      ( 2,  8, -2.669)
      ( 2, 16, 82.237)
      ( 2, 22, 24.099)
      ( 2, 31, 33.592)
      ( 2, 34, 19.541)
      ( 3,  7, -5.883)
      ( 3, 14, 65.955)
      ( 3, 20, 77.119)
      ( 3, 25, 49.747)
      ( 4,  8, 48.021)
      ( 4, 12, 54.182)
      ( 4, 13, 40.249)
      ( 5, 24, -15.648)
      ( 5, 29, 45.382)
      ( 5, 34, 72.153)
      ( 6,  1, 60.260)
      ( 6, 11, 43.633)
      ( 7, 11, 30.663)
      ( 7, 15, 12.439)
      ( 7, 28, 70.484)
      ( 7, 32, 51.078)
      ( 8, 10, 85.356)
      ( 8, 13,  1.826)
      ( 8, 22, 61.668)
      ( 9,  5, 17.699)
      ( 9,  8, 51.263)
      ( 9, 20, 10.957)
      ( 9, 22, -1.834)
      ( 9, 29, 54.510)
      (10,  1, -15.352)
      (10, 22, 32.949)
      (10, 29,  3.097)
      (10, 34, 37.202)
      (11, 10, 32.229)
      (11, 13, -1.660)
      (11, 15, 29.031)
      (11, 27, 38.042)
      (11, 31, 83.884)
      (12, 11, 21.701)
      (12, 25,  6.343)
      (12, 30,  9.829)
      (13,  2, 44.645)
      (13,  7, 78.570)
      (13, 10,  4.285)
      (13, 23, -13.984)
      (13, 26, 13.397)
      (13, 30, 77.514)
      (14,  8, 48.097)
      (14, 15,  3.940)
      (14, 34, -3.663)
      (15, 13, 44.881)
      (15, 25, 54.225)
      (15, 32,  3.213)
      (16,  6, 26.356)
      (16, 12, 37.208)
      (16, 13, 15.654)
      (17,  5,  1.473)
      (17, 13, 39.795)
      (17, 16, 66.162)
      (17, 23,  4.411)
      (18,  8, 29.953)
      (18,  9,  5.913)
      (18, 17, -0.081)
      (19, 11, 63.779)
      (19, 30, 60.375)
      (20,  1, -1.569)
      (20, 11, 48.113)
      (20, 18,  4.941)
      (21, 24, 43.253)
      (22,  1, 66.956)
      (22,  5,  9.284)
      (22, 21, 37.331)
      (23,  5, 47.566)
      (23, 18, -6.431)
      (23, 26, 25.153)
      (24,  9, 73.473)
      (24, 15, 22.216)
      (24, 18, 86.810)
      (24, 21, -13.259)
      (24, 22, 33.398)
      (25, 15, -16.071)
      (25, 23, 30.712)
      (26,  4, 49.114)
      (26, 11, -5.682)
      (26, 13, -3.864)
      (26, 33, 60.858)
      (27,  7, 76.262)
      (27, 10, -12.822)
      (27, 17, 68.934)
      (27, 19, -13.819)
      (27, 21, -1.099)
      (27, 22, 65.127)
      (27, 30,  4.133)
      (28,  4, 59.053)
      (28, 24, 35.886)
      (29,  0, 35.683)
      (29,  5, 13.106)
      (29, 15, 27.478)
      (29, 27, 53.282)
      (30,  1, 32.237)
      (30, 16, 20.639)
      (30, 31, -8.320)
      (31,  1, -0.387)
      (31,  8, -11.298)
      (31, 23,  3.987)
      (31, 33, -1.691)
      (32,  4, 70.452)
      (32,  8, 26.002)
      (32, 16, 24.714)
      (32, 19, -2.381)
      (33,  0, 12.230)
      (33,  2, 50.106)
      (33,  5, 15.899)
      (33, 24, 65.663)
      (33, 28, 21.917)
      (33, 29, 15.637)
      (34, 24, 10.465) }
------------------------- 

** G11: |V|=40, V={0,1,...39}
(u, v, weight) E = { 
      ( 0, 14, 65.749)
      ( 0, 17, 25.615)
      ( 0, 36, 69.818)
      ( 1,  8, 56.774)
      ( 1, 17, 10.073)
      ( 1, 19,  0.025)
      ( 1, 21, 12.751)
      ( 1, 23, 83.032)
      ( 1, 25, 44.009)
      ( 1, 27, 26.839)
      ( 1, 28, 15.882)
      ( 1, 31, 49.241)
      ( 2,  1, 22.215)
      ( 2,  6, 56.787)
      ( 2, 11, 93.541)
      ( 2, 32, 36.828)
      ( 3,  7, 70.487)
      ( 3,  8, 33.484)
      ( 3, 19, 16.762)
      ( 3, 34, 61.183)
      ( 3, 35, 87.460)
      ( 3, 36, 54.610)
      ( 4,  1, 29.600)
      ( 4, 13, 97.096)
      ( 4, 14, 87.983)
      ( 4, 36, 52.531)
      ( 5,  8, 83.648)
      ( 6,  9, 73.354)
      ( 6, 14,  3.276)
      ( 6, 28, 89.881)
      ( 6, 30, 69.185)
      ( 7,  2, 44.840)
      ( 7,  3,  8.265)
      ( 7, 10, 31.856)
      ( 7, 19, 51.104)
      ( 7, 20, 56.698)
      ( 7, 32, 98.976)
      ( 8, 16, 17.679)
      ( 9, 14, 19.424)
      (10,  9, 97.612)
      (10, 13, 47.342)
      (10, 32, 64.563)
      (11,  5, 57.515)
      (11,  6, 33.787)
      (11, 17, 48.333)
      (11, 18, 83.963)
      (11, 30, 11.865)
      (11, 34, 91.007)
      (11, 38, 74.440)
      (12, 11, 74.623)
      (12, 14, 78.231)
      (12, 27, 18.321)
      (12, 28, 53.703)
      (13,  6,  8.869)
      (13,  8, 23.568)
      (13, 12, 87.365)
      (13, 20, 46.434)
      (13, 23, 34.279)
      (13, 31, 39.251)
      (13, 39, 65.856)
      (14,  2, 83.460)
      (14, 27, 84.872)
      (15,  1, 44.023)
      (15, 24, 99.722)
      (15, 39, 93.577)
      (16,  1,  2.884)
      (16, 10, 22.986)
      (16, 13, 65.766)
      (17,  7, 27.122)
      (17, 11, 11.814)
      (17, 13, 93.598)
      (17, 22,  9.002)
      (17, 26, 40.053)
      (17, 29, 68.700)
      (18,  2, 54.947)
      (18, 19,  6.858)
      (18, 23, 15.343)
      (18, 39, 63.639)
      (19,  8, 37.529)
      (19, 10,  6.653)
      (19, 11, 15.988)
      (19, 23, 56.478)
      (19, 26, 27.657)
      (19, 33, 87.477)
      (19, 38, 44.171)
      (20,  9, 20.844)
      (20, 11, 32.995)
      (20, 33, 69.320)
      (21,  4, 50.297)
      (21,  6, 51.818)
      (21, 12, 66.325)
      (21, 32, 56.038)
      (22, 17, 43.498)
      (22, 27, 63.082)
      (23, 15,  6.730)
      (23, 24, 88.639)
      (24,  7, 62.486)
      (24, 10, 11.554)
      (24, 31, 72.687)
      (24, 37,  0.086)
      (25,  0, 22.909)
      (25,  1, 25.461)
      (25, 19, 43.632)
      (26, 17, 88.590)
      (26, 22, 68.228)
      (27,  4,  3.979)
      (27,  5,  0.351)
      (27, 20, 15.191)
      (27, 28, 37.616)
      (28,  1, 87.718)
      (28,  2, 44.648)
      (28, 14, 46.981)
      (28, 21, 91.109)
      (28, 24, 22.763)
      (28, 39, 69.957)
      (29,  2, 49.938)
      (29, 12, 34.876)
      (29, 14, 49.908)
      (29, 32, 30.111)
      (29, 38, 47.213)
      (30,  4, 67.716)
      (30,  5, 49.024)
      (30, 12, 74.294)
      (30, 16, 63.300)
      (30, 19,  0.046)
      (31,  0,  4.553)
      (31,  4, 25.285)
      (31, 18, 90.850)
      (31, 35, 22.269)
      (32,  6, 38.509)
      (32,  7, 14.597)
      (32,  9, 13.270)
      (32, 11, 83.269)
      (32, 28, 26.455)
      (33,  6, 88.894)
      (33,  7, 39.388)
      (33,  9, 37.235)
      (33, 11, 68.039)
      (33, 14, 72.202)
      (33, 19, 68.793)
      (33, 23,  6.673)
      (33, 37, 96.698)
      (34,  8, 66.005)
      (34, 28,  5.802)
      (34, 30, 75.183)
      (34, 36, 45.659)
      (35, 15, 59.341)
      (35, 32, 63.170)
      (35, 38, 25.634)
      (36, 12, 40.805)
      (36, 13, 85.163)
      (36, 27, 84.766)
      (36, 35, 29.274)
      (36, 38, 27.416)
      (37,  0,  4.914)
      (37,  7, 34.328)
      (37, 25, 88.268)
      (37, 27, 86.265)
      (37, 35, 37.416)
      (38,  7, 98.350)
      (38, 10, 45.038)
      (38, 16, 80.819)
      (38, 20, 64.140)
      (38, 25, 35.248)
      (38, 30, 51.419)
      (38, 37, 27.582)
      (39,  1,  0.897)
      (39,  2, 38.049)
      (39,  3, 82.859)
      (39,  5, 62.828)
      (39, 14, 46.151)
      (39, 19, 26.520)
      (39, 31, 24.153)
      (39, 37, 59.991) }
------------------------- 

** G12: |V|=40, V={0,1,...39}
(u, v, weight) E = { 
      ( 0,  3, 25.655)
      ( 0, 18, 87.915)
      ( 0, 30, 26.635)
      ( 1, 13,  6.001)
      ( 1, 30, 45.465)
      ( 1, 37, 96.842)
      ( 1, 38, 28.997)
      ( 2, 16, 14.154)
      ( 2, 21, 54.670)
      ( 2, 22, 65.368)
      ( 3, 20, 65.397)
      ( 3, 24, 84.342)
      ( 3, 29, 80.130)
      ( 3, 34, 17.919)
      ( 3, 35, 38.948)
      ( 3, 36,  2.429)
      ( 3, 37, 85.999)
      ( 4,  2, 58.079)
      ( 4,  5, 92.045)
      ( 4, 22, 32.147)
      ( 4, 26, 58.479)
      ( 4, 31, 69.717)
      ( 4, 34, 78.791)
      ( 5,  4,  4.386)
      ( 5, 10, 77.307)
      ( 5, 12, 41.496)
      ( 5, 22,  6.132)
      ( 5, 28, 84.060)
      ( 5, 32, 46.224)
      ( 6, 10, 98.382)
      ( 6, 16, 93.943)
      ( 6, 19,  2.970)
      ( 6, 20, 10.019)
      ( 6, 34, 69.948)
      ( 7,  3, 42.390)
      ( 7,  4, 82.390)
      ( 7, 35, 53.378)
      ( 8,  7, 63.640)
      ( 8, 16, 28.054)
      ( 9, 14, 57.684)
      ( 9, 25, 12.750)
      ( 9, 34, 78.554)
      ( 9, 36, 53.993)
      (10,  5, 32.349)
      (10, 25, 12.731)
      (10, 38, 63.610)
      (11,  2, 94.531)
      (11,  3, 49.307)
      (11,  4,  1.976)
      (11, 18, 73.211)
      (12,  5, 48.336)
      (12, 14, 36.455)
      (12, 26,  9.331)
      (12, 28, 92.507)
      (13,  2, 40.899)
      (13,  3, 31.311)
      (13, 10, 22.884)
      (13, 14, 26.842)
      (13, 16, 97.821)
      (13, 22, 83.719)
      (14, 19,  4.088)
      (14, 28, 11.284)
      (15,  1, 16.005)
      (15, 11, 20.747)
      (15, 17, 51.913)
      (15, 20, 96.862)
      (15, 31, 20.821)
      (15, 39, 74.303)
      (16, 11, 90.739)
      (16, 33, 87.485)
      (16, 35,  8.179)
      (17,  4, 65.083)
      (17, 26, 15.314)
      (17, 31, 98.701)
      (17, 32, 34.645)
      (17, 35, 58.468)
      (17, 38, 99.458)
      (18,  2, 65.634)
      (18, 39, 70.851)
      (19, 32,  3.239)
      (19, 33, 70.731)
      (19, 38, 54.007)
      (20, 36,  7.343)
      (20, 39, 45.385)
      (21,  1, 37.328)
      (21,  3, 73.520)
      (21,  6, 80.083)
      (21, 18, 68.175)
      (21, 32, 70.627)
      (21, 38, 92.046)
      (22, 27, 82.540)
      (22, 37, 19.353)
      (22, 38, 49.016)
      (23,  2, 95.415)
      (23, 14, 84.500)
      (23, 16, 62.391)
      (23, 25, 71.356)
      (23, 27, 16.686)
      (23, 35, 43.805)
      (24, 11, 98.739)
      (24, 14, 39.143)
      (24, 20, 70.565)
      (24, 23, 93.957)
      (24, 26, 96.216)
      (24, 30,  7.905)
      (24, 31, 98.794)
      (24, 38,  0.396)
      (25,  6, 87.605)
      (25,  7, 98.125)
      (25, 19, 67.008)
      (25, 38, 43.528)
      (25, 39, 93.221)
      (26,  7, 40.543)
      (26, 38, 14.839)
      (27, 21, 23.913)
      (27, 25, 46.782)
      (28,  1,  0.950)
      (28,  6, 48.162)
      (28, 13, 56.033)
      (28, 36, 29.354)
      (29,  1, 68.765)
      (29, 23, 18.622)
      (29, 33, 76.846)
      (29, 36, 29.065)
      (30, 26, 18.920)
      (32, 17, 60.707)
      (32, 18, 69.711)
      (32, 21,  9.376)
      (32, 26, 61.903)
      (32, 37, 41.937)
      (33,  0, 46.860)
      (33, 16,  7.950)
      (33, 18, 99.000)
      (33, 20, 12.870)
      (33, 36, 52.752)
      (33, 37, 34.968)
      (34, 24, 51.004)
      (34, 39, 28.294)
      (35,  2, 66.242)
      (35, 17, 73.808)
      (35, 21, 94.573)
      (35, 32, 60.992)
      (36, 16,  9.931)
      (36, 25, 74.211)
      (36, 27, 38.606)
      (37,  7, 81.671)
      (37, 10, 56.500)
      (37, 12, 15.783)
      (37, 20, 80.424)
      (37, 28, 20.932)
      (37, 30, 62.406)
      (37, 31, 66.026)
      (37, 32, 31.662)
      (37, 38, 84.558)
      (38, 34, 68.126)
      (39,  7, 94.090)
      (39, 27, 64.087)
      (39, 32, 26.014) }
------------------------- 

** G13: |V|=45, V={0,1,...44}
(u, v, weight) E = { 
      ( 0,  7, 12.101)
      ( 0,  8, 27.029)
      ( 0, 22, 80.049)
      ( 4, 37, -16.060)
      ( 5, 16, 68.043)
      ( 5, 42, 54.946)
      ( 7,  6, 53.673)
      ( 7, 23, 36.985)
      ( 7, 28, 48.298)
      ( 7, 31, 36.648)
      ( 8,  4, 39.331)
      ( 8, 20, 66.966)
      (11,  4, 15.101)
      (16,  0, -9.015)
      (17, 11, 60.447)
      (19, 35, 83.906)
      (20, 11, 41.792)
      (20, 25,  2.486)
      (22, 32, 27.820)
      (23, 18, 18.572)
      (25, 39,  1.012)
      (25, 41,  9.054)
      (28, 17, -4.648)
      (32, 11, 51.726)
      (32, 27, 15.234)
      (33, 29, 12.706)
      (33, 34, 48.317)
      (34, 35, 67.444)
      (36, 10, -12.218)
      (37, 44, 18.162)
      (39, 16, 79.907)
      (40, 18, 24.895)
      (42, 11, 70.118)
      (44, 32, 16.084)
      (44, 40, 79.288) }
------------------------- 

** G14: |V|=45, V={0,1,...44}
(u, v, weight) E = { 
      ( 0,  1,  3.781)
      ( 0,  2, 92.823)
      ( 0,  4, 59.875)
      ( 1,  3, 46.917)
      ( 1,  5, 92.610)
      ( 1,  8,  8.823)
      ( 1, 16, 33.251)
      ( 2,  6, 33.193)
      ( 2, 40, 16.588)
      ( 3,  7, 82.713)
      ( 3, 11, 65.719)
      ( 3, 13, 48.242)
      ( 4, 23, 32.714)
      ( 5,  9, 45.282)
      ( 6, 14, 94.804)
      ( 6, 18, 79.722)
      ( 8, 15, 73.858)
      ( 9, 10, 53.773)
      ( 9, 12, 12.601)
      ( 9, 20, 76.204)
      ( 9, 33, 26.192)
      (10,  2, 13.364)
      (11, 21, 73.092)
      (12, 20, 41.623)
      (13, 24, 28.934)
      (14, 13, 51.232)
      (14, 29, 86.533)
      (15,  9, 69.556)
      (15, 27,  7.258)
      (15, 28, 48.476)
      (15, 35, 88.168)
      (15, 37, 65.142)
      (16, 17, 46.866)
      (16, 19,  7.167)
      (16, 44, 34.383)
      (17,  1,  9.815)
      (17, 25, 21.665)
      (17, 26, -7.318)
      (19, 12, -18.615)
      (21, 22,  3.666)
      (22, 20, 52.860)
      (23, 24, -1.911)
      (23, 34, 20.041)
      (23, 43, 77.951)
      (24, 36,  9.242)
      (25,  7, 34.675)
      (25, 34, 33.124)
      (27, 35, 37.549)
      (28, 29, 55.942)
      (29,  8, 32.173)
      (29, 30,  1.816)
      (29, 32, 67.337)
      (31,  2, 22.099)
      (31,  7, 73.454)
      (31, 34, 47.111)
      (32, 38, 61.786)
      (32, 41, 38.584)
      (35, 31, 31.804)
      (37, 42, 86.081)
      (41, 38, 72.088)
      (43, 39, 12.139)
      (44,  1,  5.887) }
------------------------- 

** G15: |V|=50, V={0,1,...49}
(u, v, weight) E = { 
      ( 0,  1, 18.736)
      ( 0, 17, 30.211)
      ( 0, 40,  3.033)
      ( 4, 30, 62.491)
      ( 5, 34, 60.188)
      ( 5, 39, 89.983)
      ( 5, 41,  6.079)
      ( 6, 16, 39.872)
      ( 7,  3, 48.736)
      ( 7, 16, -21.763)
      ( 7, 48, 89.361)
      ( 8, 11, 71.588)
      ( 9, 17, 87.966)
      (10,  5, 25.623)
      (12,  0, 28.165)
      (14,  9,  9.281)
      (14, 19, 93.693)
      (15,  5, -15.749)
      (15, 39, 43.923)
      (16,  2, -8.057)
      (16, 43,  1.984)
      (17,  9, 42.378)
      (17, 33, 24.293)
      (17, 45, -13.414)
      (17, 46, 38.673)
      (18,  4, 73.438)
      (18,  8,  3.920)
      (19,  5, 56.663)
      (19, 48, 62.398)
      (25,  3, 74.928)
      (25, 26, 58.281)
      (28, 39, 64.807)
      (29, 37, 13.603)
      (30,  5, 13.353)
      (30, 12, 81.182)
      (30, 41, 90.139)
      (31, 18, 74.421)
      (32, 16, 26.546)
      (33, 20, 79.792)
      (34,  0, -10.109)
      (35, 42, -6.452)
      (37, 36,  1.184)
      (39, 37, -4.849)
      (40, 46,  9.132)
      (41, 40,  3.344)
      (42, 46, 39.003)
      (45, 46, 21.802)
      (46, 18, 25.363)
      (48, 19, 33.871)
      (48, 28, -6.798)
      (48, 36, 64.717)
      (48, 39, 23.958)
      (49, 19, -5.271)
      (49, 34, -4.244) }
------------------------- 

** G16: |V|=50, V={0,1,...49}
(u, v, weight) E = { 
      ( 0,  1, 23.930)
      ( 0,  3, 89.387)
      ( 0, 36, -14.593)
      ( 1, 16, 45.997)
      ( 1, 18, 18.579)
      ( 1, 19, 69.663)
      ( 1, 27,  1.174)
      ( 2, 11, 56.688)
      ( 2, 15, 34.485)
      ( 2, 29, 50.730)
      ( 3, 14, 89.164)
      ( 3, 39, 31.689)
      ( 4, 28, 36.276)
      ( 4, 33, 78.213)
      ( 4, 47,  9.537)
      ( 5, 23,  8.277)
      ( 5, 34, 10.015)
      ( 6,  8, 29.046)
      ( 6, 10, 53.897)
      ( 6, 29, 36.113)
      ( 7,  9, 87.277)
      ( 7, 13, 11.489)
      ( 9,  8, 12.031)
      (10, 24, 14.172)
      (10, 26, 55.283)
      (11, 12, 55.011)
      (11, 25, 42.843)
      (11, 49,  1.760)
      (12, 34, 33.045)
      (13, 22, 20.752)
      (15, 41, 88.445)
      (15, 43, 41.380)
      (17,  4, 37.215)
      (17, 48, -7.253)
      (18, 44, 31.435)
      (18, 45, 81.314)
      (19, 26, 38.851)
      (19, 30, 45.728)
      (20, 12, 30.500)
      (21,  2, 14.343)
      (21, 17, 14.347)
      (21, 35, 48.321)
      (21, 48, 68.292)
      (22, 25, 16.272)
      (25, 27, 56.153)
      (25, 45, 60.951)
      (26,  6, 11.083)
      (27, 16, 24.812)
      (28, 21, 81.076)
      (29, 36, 74.543)
      (30, 40, 55.325)
      (31, 49, 56.992)
      (32, 44, 43.158)
      (33, 43, 71.529)
      (34,  6, 87.441)
      (35,  6, 90.780)
      (38,  5,  0.974)
      (38, 27, 56.916)
      (39,  5, -3.166)
      (40,  4, 86.885)
      (41, 28, 79.061)
      (41, 31, 79.938)
      (41, 37, 37.438)
      (42, 32, -20.939)
      (43, 15, 13.497)
      (43, 20, 75.775)
      (43, 46, 62.558)
      (44,  2, 42.393)
      (45,  7, 74.298)
      (45, 39, 85.375)
      (46,  6, 94.617)
      (48, 21, -0.358)
      (48, 27, 43.177)
      (48, 42, 26.112)
      (49, 38, 60.726) }
------------------------- 

** G17: |V|=55, V={0,1,...54}
(u, v, weight) E = { 
      ( 0,  1, 92.572)
      ( 0,  3, 67.589)
      ( 0,  4,  9.928)
      ( 0,  8, 33.112)
      ( 0, 15, 25.818)
      ( 0, 16, 94.907)
      ( 0, 31, 33.857)
      ( 1,  5,  2.251)
      ( 1,  7, 51.515)
      ( 1, 10, 25.961)
      ( 1, 23, 21.727)
      ( 2, 12,  9.633)
      ( 2, 18, 35.748)
      ( 2, 24, 60.216)
      ( 4,  0, 75.560)
      ( 4, 15, 98.789)
      ( 4, 26,  1.035)
      ( 4, 28, 10.785)
      ( 4, 29, 14.883)
      ( 5, 19, 52.616)
      ( 5, 29, -83.216)
      ( 5, 46, -1.590)
      ( 6, 44, 98.865)
      ( 8, 36, 77.882)
      (10, 35, 67.940)
      (11, 19, 59.837)
      (12, 13, -7.114)
      (12, 15, -8.123)
      (12, 17, 25.323)
      (13,  1, 51.842)
      (13,  6, 32.606)
      (13, 30, -43.938)
      (13, 50, 17.783)
      (14, 15, 20.854)
      (14, 32, 63.021)
      (14, 38, 59.963)
      (14, 54, 29.071)
      (15, 22, 64.813)
      (16, 33, 91.411)
      (17, 50, 25.330)
      (18, 21, 47.997)
      (19, 53, 58.137)
      (21,  3, 65.959)
      (22, 15, 88.363)
      (22, 18, 58.948)
      (23,  9, 86.908)
      (24, 27, 35.574)
      (24, 34, 59.243)
      (26, 37, 34.708)
      (26, 41, 87.698)
      (26, 52, 38.414)
      (27, 22, 56.030)
      (30,  2, 64.389)
      (30, 39,  5.763)
      (32, 15, 81.817)
      (32, 20, 55.188)
      (32, 25, 75.469)
      (34, 47, 27.537)
      (35, 12, 58.276)
      (37, 20, 30.734)
      (38, 14, 55.112)
      (38, 40, 51.716)
      (39, 10, 31.443)
      (39, 42,  0.930)
      (39, 54,  8.655)
      (40,  1, 99.949)
      (40, 12, 56.150)
      (42, 35, 19.911)
      (42, 43, 29.901)
      (42, 49, 38.934)
      (43, 31, 32.364)
      (43, 51,  4.425)
      (45,  2, 18.181)
      (45, 11, 94.718)
      (46, 15, 27.963)
      (47, 29, 74.486)
      (50, 36, 22.274)
      (50, 45,  0.523)
      (50, 48, 98.952)
      (52,  0, 42.270)
      (52, 35, 28.374)
      (52, 49, 20.671)
      (53,  7, 94.697)
      (54, 50, 10.569)
      (54, 52, 61.966) }
------------------------- 

** G18: |V|=55, V={0,1,...54}
(u, v, weight) E = { 
      ( 0, 49, 20.164)
      ( 2,  4, 21.959)
      ( 2, 18,  7.059)
      ( 4, 27, 68.705)
      ( 6, 20, 70.089)
      ( 6, 44,  8.721)
      ( 8, 48, 61.573)
      ( 9, 14, 45.451)
      (13, 19, 17.811)
      (14, 54, 15.598)
      (15, 31,  9.371)
      (19, 50, 56.818)
      (21, 10, 47.869)
      (21, 20, 27.378)
      (24, 20, -16.009)
      (24, 45, 56.650)
      (25, 12, 67.362)
      (26, 22, 49.119)
      (26, 28, 42.259)
      (27, 30, 88.854)
      (27, 45, 23.416)
      (27, 53, -2.216)
      (28,  6, 56.524)
      (28,  8, -3.711)
      (29, 45,  6.961)
      (29, 46, 60.460)
      (30, 39, 68.780)
      (32, 34, 79.247)
      (32, 48, 76.106)
      (36,  7, -1.439)
      (36, 24, 67.454)
      (37,  5, 62.445)
      (38, 14, 27.363)
      (38, 18, 79.773)
      (39, 32, 99.525)
      (39, 45, 57.115)
      (39, 46,  3.517)
      (40,  1, 61.464)
      (40, 22, 39.591)
      (42,  6, 45.854)
      (43, 37, 66.832)
      (48, 10, 23.116)
      (49, 31, 77.764)
      (52, 18, 84.698)
      (52, 24, 52.448)
      (53, 23, 63.489) }
------------------------- 

** G19: |V|=60, V={0,1,...59}
(u, v, weight) E = { 
      ( 0, 20, 62.937)
      ( 0, 54, 22.547)
      ( 0, 57, 20.620)
      ( 1, 25, 22.613)
      ( 1, 41, 21.521)
      ( 3, 19, 27.481)
      ( 3, 31, 80.199)
      ( 3, 32, 48.549)
      ( 3, 52, 55.398)
      ( 6, 32, 29.576)
      ( 7, 30,  0.832)
      ( 8, 51, -9.084)
      ( 9, 32, 73.306)
      (11,  1, 95.549)
      (11,  5, -19.736)
      (11, 35, 56.942)
      (13, 20, 54.345)
      (13, 43, 94.943)
      (13, 48, 48.759)
      (15, 51, -4.488)
      (16, 34, 11.800)
      (18, 17, 85.429)
      (19, 48, 27.131)
      (21,  9, 23.158)
      (21, 35, 48.810)
      (22, 47, 22.144)
      (24,  1, 25.007)
      (24, 11,  2.387)
      (26,  8, -1.168)
      (27, 33, 44.971)
      (27, 41, 40.406)
      (29, 25, -1.837)
      (29, 47, 59.983)
      (30, 19, -9.387)
      (30, 20, 76.196)
      (30, 32, 31.458)
      (31,  8, 77.873)
      (32,  9, 32.123)
      (34, 18, 60.127)
      (34, 19, 60.632)
      (35, 27, 18.363)
      (35, 48, 46.955)
      (35, 58, 21.105)
      (36, 15, 46.672)
      (38, 51, 32.190)
      (41, 43, 28.766)
      (42,  6,  5.037)
      (42,  8,  4.867)
      (42, 23, 49.357)
      (42, 29, 62.021)
      (45,  4, 14.239)
      (45, 11, -5.674)
      (45, 17, -15.740)
      (47, 41, 16.808)
      (47, 43, 72.669)
      (47, 59, 36.662)
      (48, 21, 37.899)
      (48, 44, 75.839)
      (48, 47, 22.092)
      (48, 55, 77.647)
      (49,  0, 44.615)
      (49, 25, 85.312)
      (49, 44, 42.009)
      (50, 46,  5.464)
      (51, 58, 56.394)
      (52, 27, 46.493)
      (53, 30, 38.807)
      (53, 37, 16.245)
      (55, 35, 52.900)
      (59, 10, 24.328)
      (59, 47, 18.499)
      (59, 52, 87.205) }
------------------------- 

** G20: |V|=60, V={0,1,...59}
(u, v, weight) E = { 
      ( 0,  1,  6.977)
      ( 0,  2,  8.498)
      ( 0,  8, 84.108)
      ( 0,  9, 50.659)
      ( 1, 13, 95.313)
      ( 1, 30,  3.687)
      ( 1, 32, 82.374)
      ( 1, 45, 12.905)
      ( 1, 49, 49.083)
      ( 2,  3, 13.728)
      ( 2, 32, 76.319)
      ( 3,  4, 12.248)
      ( 3,  5, 77.016)
      ( 3,  7, 78.441)
      ( 3, 24, 38.770)
      ( 4, 20,  6.352)
      ( 4, 21, 21.704)
      ( 4, 52, 16.629)
      ( 5, 11, 58.731)
      ( 6, 29, 69.782)
      ( 6, 36, -20.760)
      ( 7, 27,  8.942)
      ( 7, 43,  3.427)
      ( 8, 25, 13.636)
      ( 8, 37, -16.027)
      ( 8, 43,  1.456)
      ( 9, 14, 71.443)
      ( 9, 28, 50.304)
      ( 9, 45, 59.680)
      (10, 12, -12.051)
      (10, 18, 14.515)
      (10, 25, 24.567)
      (11, 16, 73.949)
      (12,  3, 41.554)
      (12, 55, 44.957)
      (13, 33, 28.389)
      (14, 53, 68.126)
      (15,  2, 24.807)
      (15, 23, 39.499)
      (16, 15, -1.128)
      (16, 39, 23.187)
      (19, 22, 73.554)
      (19, 34, 89.671)
      (19, 59, 62.764)
      (20, 43, 18.706)
      (21, 26, 54.479)
      (22, 44, 74.596)
      (23, 21, 41.862)
      (24, 48, 85.559)
      (25,  6, 66.293)
      (25, 19, 51.203)
      (25, 42,  4.464)
      (25, 49, -4.280)
      (25, 55, 51.830)
      (26, 36, 21.134)
      (26, 45, -20.626)
      (26, 52, 35.033)
      (27, 41, 53.623)
      (27, 51, 15.953)
      (29, 20, -3.082)
      (29, 31, 59.778)
      (29, 46, 60.180)
      (29, 55, 77.438)
      (30, 19, 74.059)
      (30, 47, 27.908)
      (32, 17, 16.744)
      (32, 34,  6.569)
      (34, 35, 87.824)
